"iata_code";"language_id";"name"
"AGJ";"EN";"Aguni Airport"
"AGK";"EN";"Kagua Airport"
"AGL";"EN";"Wanigela Airport"
"AGM";"EN";"Tasiilaq Ammassalik Heliport"
"AGN";"EN";"Angoon Sea Plane Base Airport"
"AGO";"EN";"Magnolia Municipal Airport"
"AGP";"EN";"Malaga Airport"
"AGQ";"EN";"Agrinion G.Karaiskakis Airport"
"AGR";"EN";"Agra Airport"
"AGS";"EN";"Augusta Regional (Bush Field) Airport"
"AGT";"EN";"Ciudad del Este Guarani Intl Airport"
"AGU";"EN";"Jesus Teran Peredo Int Airport"
"AGV";"EN";"Acarigua Oswaldo Guevara Mujica Airport"
"AGW";"EN";"Agnew Airport"
"AGX";"EN";"Agatti Island Airport"
"AGY";"EN";"Munich Augsburg Hbf Railway Stn"
"AGZ";"EN";"Aggeneys Airport"
"AHB";"EN";"Abha Airport"
"AHC";"EN";"Herlong Amedee AAF Airport"
"AHD";"EN";"Ardmore Downtown Executive Airport"
"AHE";"EN";"Ahe Airport"
"AHF";"EN";"Arapahoe Municipal Airport"
"AHH";"EN";"Amery Municipal Airport"
"AHI";"EN";"Amahai Airport"
"AHJ";"EN";"Aba/Hongyuan Airport"
"AHL";"EN";"Aishalton Airport"
"AHM";"EN";"Ashland Municipal Airport"
"AHN";"EN";"Athens Ben Epps Airport"
"AHO";"EN";"Alghero Fertilia Airport"
"AHS";"EN";"Ahuas Airport"
"AHU";"EN";"Al Hoceima Cherif El Idrissi Airport"
"AHW";"EN";"Saih Rawl Airport"
"AHY";"EN";"Ambatolahy Airport"
"AHZ";"EN";"L'Alpe-d'Huez Airport"
"AIA";"EN";"Alliance Municipal Airport"
"AIC";"EN";"Airok Ailinglapalap Airport"
"AID";"EN";"Anderson Municipal Airport"
"AIE";"EN";"Aiome Airport"
"AIF";"EN";"Assis Marcelo P. Halzhausen Airport"
"AIG";"EN";"Yalinga Airport"
"AIH";"EN";"Aiambak Airport"
"AII";"EN";"Ali Sabieh Airport"
"AIK";"EN";"Aiken Municipal Airport"
"AIL";"EN";"Ailigandi Airport"
"AIM";"EN";"Ailuk Island Airport"
"AIN";"EN";"Wainwright Airport"
"AIO";"EN";"Atlantic Municipal Airport"
"AIP";"EN";"Adampur Airport"
"AIR";"EN";"Aripuana Airport"
"AIS";"EN";"Arorae Airport"
"AIT";"EN";"Aitutaki Island Airport"
